,x,y,z
0,0.13276295892211268,0,0
1,0.17626003261754578,0,0
2,0.23400803470013468,0,0
3,0.310675990983383,0,0
4,0.41246263829013513,0,0
5,0.5475976030421943,0,0
6,0.727006780785382,0,0
7,0.9651957137350704,0,0
8,1.2814223889440834,1,1
9,1.7012542798525883,0,1
10,2.2586355207213757,0,1
11,2.9986313485755653,0,1
12,3.9810717055349714,0,1
13,5.285388593079245,3,4
14,7.017038286703826,24,28
15,9.316027658125519,12,40
16,12.368233972929833,2,42
17,16.42043338887162,2,44
18,21.8002532349005,3,47
19,28.94266124716749,5,52
20,38.425133462543194,8,60
21,51.0143441546432,16,76
22,67.72815277441413,17,93
23,89.91789964660114,26,119
24,119.37766417144357,27,146
25,158.48931924611125,22,168
26,210.4151098066507,21,189
27,279.35332579852195,15,204
28,370.87774117744726,24,228
29,492.38826317067367,20,248
30,653.7092275705855,16,264
31,867.8837132695965,13,277
32,1152.2280977398204,7,284
33,1529.7321160913566,2,286
34,2030.9176209047348,3,289
35,2696.3063267836983,2,291
36,3579.69606104217,0,291
37,4752.510411057897,1,292
38,6309.57344480193,0,292
