,code,airport,state,lat,long,delay15,delay30,delay45,observations,ontime,late,percentage
0,KABQ,Albuquerque ,NM,35.04019928,-106.60900120000001,56,35,62,1188,1030,158,13.299663299663301
0,KACV,Arcata-Eureka ,CA,40.97809982,-124.10900120000001,1,2,9,44,32,12,27.27272727272727
0,KACY,Atlantic City ,NJ,39.45759964,-74.57720184,6,1,10,118,100,18,15.254237288135593
0,KADW,Andrews Air Force Base,MD,38.81079865,-76.86699677,0,0,0,1,1,0,0.0
0,KAGS,Augusta Regional ,GA,33.36989975,-81.96450043,14,8,13,200,162,38,19.0
0,KALB,Albany ,NY,42.74829865,-73.80169678,38,24,44,850,728,122,14.352941176470587
0,KAMA,Rick Husband Amarillo ,TX,35.2193985,-101.7060013,9,7,12,243,210,33,13.580246913580247
0,KATL,Hartsfield-Jackson Atlanta ,GA,33.63669968,-84.42810059,1097,436,778,16800,14442,2358,14.035714285714285
0,KAUS,Austin-Bergstrom ,TX,30.19449997,-97.66989899,142,84,147,2670,2281,389,14.569288389513108
0,KAVL,Asheville Regional ,NC,35.43619919,-82.54180145,16,10,17,276,231,45,16.304347826086957
0,KAVP,Wilkes-Barre/Scranton ,PA,41.33850098,-75.7233963,11,5,21,216,175,41,18.98148148148148
0,KBDL,Bradley ,CT,41.93889999,-72.68319702,59,36,117,1379,1145,234,16.96881798404641
0,KBED,Laurence G. Hanscom Field,MA,42.47000122,-71.28900146,9,2,3,22,6,16,72.72727272727273
0,KBFI,Boeing Field ,WA,47.52999878,-122.302002,9,4,4,90,72,18,20.0
0,KBFL,Meadows Field ,CA,35.43360138,-119.0569992,3,1,7,98,86,12,12.244897959183673
0,KBHM,Birmingham-Shuttlesworth ,AL,33.56290054,-86.75350189,47,16,66,812,679,133,16.379310344827587
0,KBIL,Billings Logan ,MT,45.80770111,-108.5429993,14,6,16,396,357,39,9.848484848484848
0,KBIS,Bismarck ,ND,46.77270126,-100.7460022,5,0,4,183,173,10,5.46448087431694
0,KBKL,Burke Lakefront ,OH,41.51750183,-81.6832962,1,0,1,23,21,2,8.695652173913043
0,KBLI,Bellingham ,WA,48.792800899999996,-122.538002,7,4,2,145,132,13,8.96551724137931
0,KBNA,Nashville ,TN,36.12450027,-86.67819977,224,121,249,3138,2498,640,20.395156150414277
0,KBOI,Boise Air Terminal (Gowen Field),ID,43.56439972,-116.22299960000001,34,16,37,956,864,92,9.623430962343097
0,KBOS,Logan ,MA,42.36429977,-71.00520325,401,282,490,7748,6481,1267,16.352607124419205
0,KBRO,South Padre Island ,TX,25.90679932,-97.42590332,2,0,2,96,90,6,6.25
0,KBTR,Baton Rouge Metropolitan ,LA,30.53319931,-91.14959717,14,3,17,302,262,40,13.245033112582782
0,KBTV,Burlington ,VT,44.47190094,-73.15329742,24,17,37,459,370,89,19.389978213507625
0,KBUF,Buffalo Niagara ,NY,42.94049835,-78.73220062,66,38,111,1218,978,240,19.704433497536947
0,KBUR,Bob Hope ,CA,34.20069885,-118.35900120000001,96,53,85,1116,862,254,22.759856630824373
0,KBWI,Baltimore/Wash ,MD,39.17539978,-76.66829681,378,192,329,4708,3684,1024,21.75021240441801
0,KBZN,Bozeman Yellowstone ,MT,45.77750015,-111.15299990000001,5,2,5,167,155,12,7.18562874251497
0,KCAE,Columbia Metropolitan ,SC,33.93880081,-81.11949921,21,11,25,430,359,71,16.511627906976745
0,KCHS,Charleston ,SC,32.89860153,-80.04049683,65,35,93,1086,876,210,19.337016574585636
0,KCID,The Eastern Iowa ,IA,41.88470078,-91.71080017,16,7,28,388,329,59,15.206185567010309
0,KCLE,Cleveland Hopkins ,OH,41.4117012,-81.84980011,108,66,137,2078,1738,340,16.361886429258902
0,KCLT,Charlotte Douglas ,NC,35.21400070000001,-80.94309998,492,298,753,10019,8386,1633,16.29903183950494
0,KCMH,John Glenn Columbus ,OH,39.9980011,-82.89189911,101,51,140,1957,1627,330,16.862544711292795
0,KCOS,Colorado Springs Municipal ,CO,38.80580139,-104.70099640000001,23,12,44,453,368,85,18.76379690949227
0,KCPR,Casper/Natrona County ,WY,42.90800095,-106.4639969,4,1,4,86,75,11,12.790697674418606
0,KCRP,Corpus Christi ,TX,27.77039909,-97.50119781,5,5,8,212,189,23,10.849056603773585
0,KCRW,Yeager ,WV,38.37310028,-81.59320068,12,6,26,252,199,53,21.03174603174603
0,KCVG,Cincinnati/Northern Kentucky ,KY,39.04880142,-84.6678009,109,65,202,2226,1812,414,18.598382749326145
0,KDAL,Dallas Love Field,TX,32.8470993,-96.85179901,275,129,242,2756,2080,676,24.528301886792452
0,KDAY,James M. Cox Dayton ,OH,39.90240097,-84.2193985,32,26,62,679,539,140,20.618556701030926
0,KDCA,Ronald Reagan National ,DC,38.85210037,-77.03769684,311,235,549,5864,4625,1239,21.128922237380625
0,KDFW,Dallas/Fort Worth ,TX,32.89680099,-97.03800201,489,305,814,12316,10608,1708,13.868139006170836
0,KDOV,Dover Air Force Base,DE,39.12950134,-75.46600342,1,0,0,2,1,1,50.0
0,KDSM,Des Moines ,IA,41.5340004,-93.6631012,26,13,31,676,596,80,11.834319526627219
0,KDTW,Detroit Metropolitan Wayne County ,MI,42.21239853,-83.35340118,353,151,370,7261,6347,914,12.587797823991187
0,KEGE,Eagle County ,CO,39.64260101,-106.9179993,1,1,2,41,37,4,9.75609756097561
0,KELP,El Paso ,TX,31.80719948,-106.37799840000002,28,15,45,729,632,97,13.305898491083676
0,KEUG,Mahlon Sweet Field,OR,44.12459946,-123.211998,4,5,6,340,325,15,4.411764705882353
0,KEWN,Coastal Carolina Regional ,NC,35.07300186,-77.04290009,5,5,5,91,76,15,16.483516483516482
0,KEWR,Newark Liberty ,NJ,40.69250107,-74.16870117,527,284,661,8258,6602,1656,20.053281666263018
0,KEYW,Key West ,FL,24.55610085,-81.75959778,13,8,29,340,290,50,14.705882352941178
0,KFAR,Hector ,ND,46.92070007,-96.81580353,16,9,18,278,234,44,15.827338129496402
0,KFAT,Fresno Yosemite ,CA,36.77619934,-119.71800230000001,10,8,35,522,462,60,11.494252873563218
0,KFAY,Fayetteville Regional ,NC,34.99119949,-78.88030243,8,5,10,194,170,24,12.371134020618557
