	code	airport	state	lat	long	delay15	delay30	delay45	observations	ontime	late	percentage
0	KDCA	Ronald Reagan National 	DC	38.85210037	-77.03769684	311	235	549	5864	4625	1239	21.128922237380625
0	KRSW	Southwest Florida 	FL	26.53619957	-81.75520325	78	52	92	1075	846	229	21.302325581395348
0	KLGA	LaGuardia 	NY	40.77719879	-73.87259674	511	249	600	7279	5707	1572	21.596373128176946
0	KBWI	Baltimore/Wash 	MD	39.17539978	-76.66829681	378	192	329	4708	3684	1024	21.75021240441801
0	KRIC	Richmond 	VA	37.50519943	-77.31970215	76	41	106	1095	846	249	22.73972602739726
0	KBUR	Bob Hope 	CA	34.20069885	-118.35900120000001	96	53	85	1116	862	254	22.759856630824373
0	KPHL	Philadelphia 	PA	39.87189865	-75.2410965	351	315	741	6975	5341	1634	23.426523297491038
0	KMDW	Chicago Midway 	IL	41.78599929999999	-87.75240326	362	197	270	3662	2781	881	24.05789186237029
0	KDAL	Dallas Love Field	TX	32.8470993	-96.85179901	275	129	242	2756	2080	676	24.528301886792452
0	KPBI	Palm Beach 	FL	26.68320084	-80.09559631	97	48	110	1064	799	265	24.906015037593985
0	KMEM	Memphis 	TN	35.04240036	-89.97669983	474	93	113	1936	1244	692	35.74380165289256
